Comment,Actual,Predicted
"Nuvu mari bad ga cheptunnav anipistundi bro. Ippude chusanu movie. Interval ki 20mins mundu nunchi movie engaging ga anipistundi. Appana Character matram Charan chala baga chesadu. As usual movie concept enti anedi manaki munde telusu, so adi kotta ga ante ela teestaru cheppu.",Neutral,Very Good
Nenu chusanu bro average,Not Good,Neutral
Nice 👌,Very Good,Neutral
Super wonderful Anna,Excellent,Very Good
Bagundi bro movie,Neutral,Very Good
BOSS come back movie,Neutral,Poor
Miru yentha cheppina 500 crores anil finger mida hair kuda,Neutral,Poor
Movie chala bhagundi meru em chepina janalu chustharu meko dandam,Excellent,Very Good
"Headache ochesindhi lagg thoni, climax kuda enjoy cheyalekapoina sarrigga",Not Good,Poor
I love mouli bro but nu intha support ga cheppatam Naku nacchele.500 cr movie nacchadu frist baledhu ane cheptadu.mouli bro nagative chepte mingutha anuntadu 😂,Not Good,Very Good
సినిమా చాలా బాగుంది,Very Good,Poor
Below average movie,Poor,Not Good
Second half antha ledu bro.flop,Poor,Not Good
Graphics bagundi untey cinema super hit iyedi.,Neutral,Very Good
1st half full 🔥🔥🔥 bro 2nd half matram dobbindi,Excellent,Neutral
parledhu .one time chudochu,Not Good,Neutral
"Thank u bar bell 🔔! I bought 1 blenders pride , family pack baryani from pista house , and 2 liter ice cream. Enjoyed with family slept nicely Happy independence day 😊",Poor,Very Good
Movie blockbuster👌.,Very Good,Excellent
Naku aithe edo miss ayyindi anipinchindi horror scenes baaga theesadu kani nenu okkasari kuda bhayapadaledu suspense bagundi goosebumps kuda anipinchaledu but good movie nenu expect chesinantha aithe nannu satisfy cheyaledu.,Not Good,Very Good
Super,Excellent,Very Good
మూవీ చాలా బాగుంది 😀 నువ్వు కొంచెం చూసుకొని చెప్పు బ్రో 🤦,Very Good,Poor
"I think u have to watch it again, perfectly designed movie without a boring episode",Excellent,Poor
Kalyanam ram acting very nice,Neutral,Very Good
Second half worst.vfx cmg worst .pitchollo chesedu,Not Good,Poor
edho anukunna nani cinema ilaaa untundhi anukoledu asalu . It is nor at all as expected . music is the biggest minus. Trailer chooseh anukunna but nani and shiva nirvana perlu choosi book aipoyaa😱,Not Good,Poor
Only climax remaining sleep,Not Good,Poor
Cinema bagundhi,Neutral,Very Good
Cinema mamuluga ledu bro. 👌👌👌👌👌👌,Excellent,Very Good
Movie choodochu,Not Good,Very Good
Em undhi bayya movie 100 times worth 👾👿💥💥💥,Excellent,Poor
🔥💫🪐,Very Good,Poor
I am mega fan Movie superrrrrr,Very Good,Poor
Best మూవీ,Neutral,Very Good
Nevu padha director la chaputuvu,Very Good,Poor
Bayya second half mind dobbinddiii😂😔,Not Good,Very Good
చెత్త రివ్వు సినిమా చాలా బాగుంది,Very Good,Poor
Movie addiripoindra nayana entra nannu nenu chuskunnattu vundi😮,Excellent,Poor
Prabhas garu should concentrate more on script selection..he is some how not being able to select good scripts according to his image..he should appoint good script and screenplay writers in his team..everything will be good,Poor,Neutral
Rey Mustilanj nuv Yt money kosam views likes cheyandi ani addukko ra inka . nuvvu em matladavo Nike teliyatleda Prabhas name tiyakapothe entra KALKI Prabhas movie ki movie chudakunda Negative review echav adhi kuda trailer chusi . Director Concept niku telidu Ramayanam telidu Mahabaratham telidu 3 worlds unnayi endhuku telidu Sand undi Dune tho compare chesi Hollywood movies ikkada evaru chudaru nuv okkadive chusthunattu cheppav ra . Ni videos ki mathram Telugu movies a kavali entra . Hollywood movies ki review echukora .Telugu movies directors ni troll cheyaka niku talent untay chupinchara 10mins Shortfilm thisi Leda muskoni undu erripuk . Venaka light kottesthundi antav movie chusava ippudu em kottesthundi chepra .future lo sunlight ela untadi niku telsa ra ninnu cheppu tho kottali ra . Kalki NagAshwin Brilliant Director .,Neutral,Very Good
Bro review chaala lag undhi bro,Not Good,Very Good
Super duper,Very Good,Excellent
Sankranthi winner,Very Good,Excellent
Sodhi thaggisthe bagundedhi,Not Good,Very Good
మూవీ బాగుంది,Neutral,Poor
Movie bagane undi Anna. Block buster Ani cheppanu .meku ardam kakapovadam correct. kontha mandiki nachutundi Pakka,Neutral,Excellent
Good Movie👍👍Very Important for Indians🔥🔥There are so many points we can learn from this movie Watch with all of your family members you will definitely love this one🔥 All Hail Shankar sir and Charan sir👍 🔥,Excellent,Very Good
Hello Negative reviews ichina prathi okkariki me kosame e message Arey naku ardham kadhu movie ticket koni reviews chepthunare ma ante 2 to 3 days work cheste vastadhi ah ticket amount But ikkada yentha superb ga unna movie ni Negative review ivvadaniki meku yelanti rights unnayi Nv kanisam short film ayna chesava Dhammu unte chesi chupinchu ra Antha kastapadi prathi okkaru entertainment kosam movie thiste 450 petti ticket koni gammuna enjoy cheyakunda vachi rani negative comments petti yela cheda koduthunnaru ra. !! Nv review iche mundhu first ne life nv sakkaga chusko tharuthvatha matladu Guys reviews iche prathi okkariki chepthuna mic camera undhi kadha ani negative comments chesaro vallaki untadhi iga Am not a fan any hero s But am a person who thinks a positive way!,Not Good,Very Good
"Bro Second Half is good as compared to that of First Half, VFX is not even good too bad. Prabhas is good!",Not Good,Neutral
Bro movie good twist is also good but same routine story but scenes are good for me,Very Good,Neutral
Songs bgms rod,Not Good,Poor
Nijam cheptuna movie lo em ledu Ugram movie remake below average movie,Neutral,Not Good
Its not an art but a hero worshipping dumb masala business that exploits the audience and keeps them dumb. Just like any other karan Johar or Rohit Shitty kind of movies. These kind of art illiterate directors will always hold cinema and pull it to the back ages and stereotype indian movies.. 1000 out of 5.,Excellent,Poor
Anna bagundi anna movie..,Neutral,Very Good
Movie bagundi bro chusina tarvata dissoppaint avvaru nenu guarantee go and watch,Neutral,Very Good
💥,Very Good,Poor
ee year hype tho vachina movies ani disappoint chesayi OG okkate hype ki thagattu match chesindi bro,Very Good,Poor
Aaa vfx enti..video game laga unayii.. cartoon inka baguntadi Chala dark background undi..,Not Good,Very Good
Average movie bro money waste,Neutral,Poor
Movie bagundi nuvu ni chatha review,Neutral,Very Good
No comedy no story.,Not Good,Poor
Excellent entertainment Movie full length comedy super super super,Excellent,Very Good
That spy might be the one who made that machine fail to collect what they are looking to collect bro. Hope you got the answer and I got the same feeling on 1st half but the climax is lit🔥🔥🔥🔥,Very Good,Neutral
Bayya 1st time review chudakunda vellinandhu thagina sasthi jarigindhi ee movie.exact movie chustunnappudu avve questions tiruguthunnay mind lo Literally mana boyapati mawa chala better.😭 Malli mataku mundhu India 1st mataku venaka India 1st. Finally. WAR 2 BETTER 2 SKIP Even inth the Ott,Not Good,Poor
War bane untadi pathan bokka,Neutral,Poor
Sir new review not good for this movie,Not Good,Neutral
కళ్యాణ్ సార్ కి అసాద్యుడు తర్వాత దాని కంటే very very very very very best movies,Excellent,Very Good
Movie 💯💯💯💯💯💯💯💯💯,Excellent,Very Good
2nd half bokka cinema lagggggg 😪😪😪😪,Neutral,Poor
"అన్నా మా రామ్ చరణ్ అన్న సూపర్. But movie headache.,.. songs చూడొచ్చు.",Poor,Very Good
Movie bagundhi.. mii review overatted anipisthundhi. compare to commercial movies..this is far better. But chala high feel isthunaru,Neutral,Very Good
unsubscribe this chanal,Excellent,Poor
Don t believe negative reviews the movie is super,Excellent,Very Good
1st half full packed 2nd half konchem slow Over all disappoint asalu avvaru bhayya,Poor,Neutral
Just ok కూడా కాదు.చాలా పరమ చెత్త సినిమా👎👎👎👎👎👎,Not Good,Neutral
Masth movie.. Ippude chusi vacha.. Ade feel lo unna inka..,Very Good,Poor
Nuvvu yenni cheppina Already movie hit inka musukoni pani chusukoo yerri puka Prathi okkadiki movie review evvadam Sarada ayyindhi,Neutral,Very Good
Really shake movie 👏👏👏👏,Neutral,Very Good
Save ur precious money have a wonderful biriyani have a good sleep ahhh😅😅,Excellent,Poor
Bagunna movie ni baledu annattu cheptunnaru.its decent movie chala mandiki nachutadi..go and watch the film,Neutral,Very Good
bro ne explanation bagundhi kani. mundhu cheppina its okay to watch matram thattukolekapothuna bro. disaster cinema..,Poor,Neutral
Movie bagundhi theatres lo velli chudalani korukuntu selavu,Neutral,Very Good
The movie is really good 👍,Very Good,Neutral
Ni బతుకు రా .సినిమా సూపర్ duper,Neutral,Very Good
Venakala kaneesam cinema poster ayna pettu bro edit lo maree aa cloth baledu,Not Good,Poor
Anna simple ga movie ni e technical stuff and evo evo mind lo pettukuni choostunnam .just 2.5 hour manaku bore kottakunda and bayata world marichipoyela chesta ante ga manaku kavalsindi .it did kada anna,Not Good,Very Good
Kotthaga undhi kadha naku kuda nacchindhi😍😍,Very Good,Poor
Movie gud not bad don t kill it,Neutral,Poor
Positives thaman anna music performance wise sriya reddy performance bagundi migata valu perfomances kudda bagunyi Sujeeth movie antey technical values top notch untayi PK ni Baga present chesadu Sujeeth interval aa samurai oka story inka police station scene🔥. Negitives kani story galiki odileysadu proceedings em pedda em intresting gaa velaledu PAM maha thalli anukuna vidanganey akkada maku performance em kanapadledu commercial cinema loo logics vetakamu gani mari koni scenes untayi example emran Hashmi PAM ni champutadu but adey time ki port loo ela untadu inka off course Sujeeth interview loo chepinatu unadu trim chesam Edo scene ani but important scene ni anavasaranga cut chesaru continuity lekunda poyindi illogical scenes chala unayi character development leddu expect og ki thapa villan character chala weak undi hero villan face off kudda pedda em leddu akkada sahoo connection kuda LCU loo Leo ni irikinchinatu Edo ala irikincharu.Finally fans ki ayite worthy repeated stuff 🔥🔥but regular audience ki matram decent okayish one 😊.Nuvu paid kadu gani bro telugu pedda hero movies ki nuvu reviews fans emana antaru emo ani genuine gaa ivatledu lekka brain 🧠 motham pakana petti movie ki velli istunava logics vetakodu anav ok but movie ki mundhu andaru Sujeeth sahoo loo chesina mistakes rectify cheskuntadu Sujeeth is cooking something ani hype leyparu movie loo main debba esindi Sujeeth 😢. Enduku ela antunaa antey nuvu chusey hollywood stuff eppudu istuna movie review ki sambandam leddu Negitives kudda clear gaa chepu 🙂👍🏻Edo fandoms kosam ichinatu undi review 😢,Excellent,Neutral
I know movie bagledu but me lanti reviwers valla public inka taggipotunaru theatre ke,Not Good,Poor
👌👍😘😘😘,Very Good,Poor
Coolie some what better than War 2,Not Good,Neutral
Anna nakaithe picha pichaga nachimdhi,Excellent,Poor
పోరా హుకా సినిమా మాములుగా నే ఉంది గొప్ప కథేమి కాదు ఎంటర్టైన్మెంట్ తో లాగాడు పర్లేదు.హీరో క్లైమాక్స్ లో బాగా భయపెట్టాడు మిమ్మల్ని 😂😂😂,Neutral,Very Good
Block Buster only few vfx shots,Very Good,Excellent
Avareaj,Neutral,Poor
Movie anta bagaledhu,Not Good,Poor
Super review bro,Poor,Very Good
Nice to watch..,Very Good,Neutral
Worth watching movie really hats off to director nagashwin 👌👌👌👌👌👌 graphics. story narration. everything awesome.,Excellent,Very Good
Decent film..,Not Good,Very Good
Movie is not good. Compare to KGF it s underperformed,Not Good,Neutral
Routine Rotta Movie,Not Good,Poor
పోరా waste gaసినిమా బాగుంది,Neutral,Poor
Ee kukka moruguthone untadi ma war2 movie baga Aduthune untadi no problem morukukooooooo 😆😆😆😆,Very Good,Poor
MOVIE BAGANE UNDI..ONE TIME WATCH.WHY SO NEGATIVITY I AM NOT UNDERSTANDING,Not Good,Neutral
Climax bengabettadu bayya 😢,Not Good,Neutral
Prabhas anna super hit 🔥💯🤙🏻,Neutral,Very Good
🎉,Very Good,Poor
Graphics super ga undi anna,Neutral,Very Good
Honestly I really enjoyed the music,Neutral,Very Good
Super Biggest disaster liger movie నేను చెప్పాను కదా చెప్పినప్పుడు వినాలి కాద అస్సలు ఎవ్వడు అయిన సినిమా అంటరా దీని సినిమాలో కొండబాబు ఓవర్ యాక్టింగ్ డైరెక్టర్ పూరి తాత. Charmi అంటి. కరుణ్ జోహర్ తాత కలిసి తీసిన సినిమా దెబ్బ వేసింది అబ్బ 🤣😂 హీరోయిన్ talent అయితే మామూలుగ లేదు సినిమాలో జట్టు పట్టుకుంటున్నారు థియేటర్లో అభిమానులు మొన్న interview లో హీరోయిని what is the your talent మేడమ్ అని అడిగితే అబ్బ నాకు సిగ్గు వేస్తుంది బాబు 🧏 నా talent ఎంటి అంటే నాలికతో ముక్కు పట్టుకుంటాను అని చెప్పింది అప్పుడే అర్ధం అయ్యింది సినిమా గోవింద అని సినిమా కి ఎవ్వడు వెళ్లకండి డబ్బులు బొక్క టైం కూడ బొక్క పని పాట లేని ఏదవ లు పోర బోకు ఏదవలు వెళ్లతారు ఈ సినిమాకి బాబు అనకోండ దేవరకొండ నీకు చాల కోవ్వు ఉంది బలుపు. పోగరు. ఉంది తగ్గించుకో లేకపోతే కనుమరుగు అయిపోతావు సినిమా పరిశ్రమలో టైం ఎప్పుడు ఒక్కే లాగ ఉండదు అనకోండ బాబు ముందు నువ్వు ఎవడికి పుట్టినవో చెప్పుకోరా జంతువుల కి పుడితే చెప్పుకోకు రా.,Poor,Very Good
"Family audience tappa migita vallaki cringe pro max ,force comedy",Neutral,Poor
🦖🦖🦖🦖🦖🦖,Excellent,Poor
Second Option Lekunda Movie ki Vellipovachu. Cinema Chetta annavallaki oka 3 sarlu sarileru nekevvaru show eseyochu.,Excellent,Poor
"Chala chala baagundhi movie ,pure goosebumps.Jai Hanuman,Jai sree ram",Excellent,Very Good
"Its full family movie ra , stop seeing crime and worthless low life movies",Neutral,Very Good
BhaleUnnade deeni kante baagundi.,Neutral,Very Good
Kojja review bro evvaru nammakandi Movie BLOCKBSTER,Excellent,Very Good
Super hit movie,Excellent,Very Good
Super super movie Vedu chepindhii nammakandii guys movie chusii vedi gudda palagottadii 😡,Excellent,Very Good
Don t take seriously bro! Maruti is like Darling nuvvu nee gap lo dates ivvu chaalu.,Neutral,Very Good
MOVIE LO EMOTIONAL EKKADA UNDI BRO,Not Good,Poor
First have average Second half good 💥🔥,Very Good,Neutral
Movie👎👎👎👎👎.,Poor,Very Good
Movi blockbuster hit .. friends ..veedi thokkalo revew evaru consider cheyakandi . andharu choodandi movi xlent undhi e madhya kaalam lo vochina best nd famly tho kalisi choose movi idhi .. chala chala bagundhi,Excellent,Very Good
3 out five ante movie hit ye kada anna,Neutral,Very Good
Endhi ra e ruddhudu litrelly indhake chusa movie style over substance asalu chala unnecessary elevations as a fan panja movie thop untadhi dhinikanna sahoo ni endhuku irikincharo ardham kavatle mi andharki ippudu ardham avvatle just festival one week lo washout ayipothadhi movie strong drama ledhu,Not Good,Very Good
Goat movie nachindi worst vfx kani war 2 nachaledhu 🤡,Neutral,Poor
Naaku nachaledu movie.,Not Good,Poor
నేను రాగడి రివ్యూ ని చాలా నమ్మాను ముఖ్యంగా కిల్లర్ ఆఫ్ ద ఫ్లవర్ మూన్ విషయంలో చాలా ఇంప్రెస్ అయ్యాను ఆ తర్వాత మిగిలిన సినిమాల విషయంలో కూడా రాగిడి ని నమ్మాను కాని హను మ్యాన్ విషయంలో iam very very totally disappoint,Not Good,Very Good
👍🏻,Very Good,Poor
Comercial Cenimaa alaane untadhi predictable ga entha entertain ayyam ledha Anandhi vishayam. Movie baga handle chesaruu,Not Good,Poor
Chala perfect ga undhi movie,Excellent,Very Good
Mundu nundi neeku nachaledu annapudu movie vachaka nachutada . . . Ntr elevations baganey unnayi mari anta waste kaadu flashback kuda baganey undi . . .,Neutral,Poor
Kkk,Neutral,Poor
2nd off bored,Not Good,Poor
Thaman music is blockbuster,Very Good,Excellent
Bokkalo review.movie bagundhi,Neutral,Very Good
Cinema Chawla bagundi anta,Very Good,Neutral
Movie🎥 super but no Story,Not Good,Very Good
Super block buster movie 💥💥💥,Very Good,Excellent
"Arrei nenu chusa cinema super ga uendhi , nuvu Chepina review ki movie ki chaala theda uendhi. Nuvu thi movie.neeku movie artham kaledante neeku burrane ledu.",Excellent,Very Good
Movie is nice bro,Very Good,Neutral
Cinema first half ok but second off Slow pace And Boring over all Flop,Poor,Neutral
"Bro well said , Naku anipinchindi chppav bro .",Poor,Very Good
"Anduke movie announcement nunchi idi rod film avutundi anukunna.kani cinema Naku Baaga nachindi 😀 First half itself is worth your ticket, second half is below average. Anirudh BGM is 🔥🔥",Very Good,Not Good
Absolutely Kutta chimpesaduu bayya nag mawa 🎉😅,Excellent,Poor
Bongulo movie ki hype,Not Good,Poor
Cinima bagoledu,Not Good,Poor
Bokha movie,Poor,Very Good
హనుమాన్ is terrific movie 5 5 my ratting 🎉,Excellent,Very Good
సినిమా బాగుంది,Neutral,Poor
Movie bagundi..ne review tappu,Neutral,Very Good
Pora lanja kodaka super balackbaster movie,Excellent,Very Good
Unlimited 👌 superb,Excellent,Very Good
Movie bagundhi..dont believe.,Neutral,Very Good
